,,BURUNDI,DRC,ETHIOPIA,KENYA,RWANDA,SOUTH SUDAN,TANZANIA,UGANDA,,,,,,,,,,,,,,,
15,"Is there any special project (other than daily ministry) in your country that is currently raising funds (It can be a one-off project, etc.)? Where is it raising the funds? (In your country, US, Europe…)",,,,,,,,,,,,,,,,,,,,,,,
15.1,Special Project that is currently raising funds,,N/A,connection point,Building School,Francophone library at KCS,Construction of the Center,Building a youth center,N/A,,,,,,,,,,,,,,,
15.2,Raising funds within your country,,N/A,yes,Building School,,Construction of the Center,Building a youth center,N/A,,,,,,,,,,,,,,,
15.3,Project Raising funds in USA,,N/A,yes,Building School,,Construction of the Center,Building a youth center,N/A,,,,,,,,,,,,,,,
15.4,Raising project funds in Europe,,N/A,no,Building School,Yes,Construction of the Center,Building a youth center,N/A,,,,,,,,,,,,,,,
15.5,Project Raising funds elsewhere,,N/A,no,Building School,,Construction of the Center,Building a youth center,,,,,,,,,,,,,,,,
16,"Have your country made any contribution to YFCI, Africa, the Regional Office or Pioneering? When?",,,,,,,,,,,,,,,,,,,,,,,
16.1,Contribution to YFCI (e.g. Sent contributions to YFCI on 25 November 2022),,No,no,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,
16.2,Contribution to Africa (e.g. Sent contributions to Africa on 25 November 2022),,No,no,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,
16.3,Contribution to the Regional Office (e.g. Sent contributions to Regional Office on 25 November 2022),,No,no,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,
16.4,Contribution to the Pioneering (e.g. Sent contributions to Pioneering on 25 November 2022),,No,no,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,
17,Tell me one good story of a young people’s life that has been changed (Salvation story).,,DRC,,"One young person in our community was living a life marked by deep confusion, broken relationships, and harmful habits that left them feeling empty and hopeless. Due to negative peer influence and a lack of guidance, they had slowly withdrawn from church and lost any sense of purpose for their future. Through our youth outreach, mentorship, and prayer support, this young person was lovingly reconnected to a faith-based environment. During a dedicated youth service, they encountered the message of salvation in a profound and personal way and made a sincere decision to surrender their life to Christ.",,"William had been married for nine years without a child. During that time, he faced deep pain and constant mockery from people who called him names and laughed at his situation. The pressure became so heavy that he dropped out of university because the environment had grown too hostile. At one point, he even thought of giving up and committing suicide.

But God intervened. One day, during a devotional prayer at the YFC South Sudan computer center, the message touched his heart deeply. As he listened to the Word of God, he felt a great sense of relief and renewed hope, as if God was answering his prayers and reminding him to wait upon the Lord.

Later, William remarried and spent another four years still without a child. The mockery and insults continued, with people again calling him barren. Yet he held on to faith, trusting God’s timing. Today, God has surprised everyone William and his family are now expecting their firstborn child.

This journey has taught him that waiting upon the Lord is never in vain. Learning the Word of God and participating in devotions at the YFC South Sudan computer center has been life-changing. It has strengthened his faith, renewed his hope, and reminded him that God’s promises always come to pass in His perfect time.",,"A Life changing story.
This is Justine, a 16 years old girl, grew up in a polygamous family where the mother could provide everything at home including her school fees. Life became hard and harder as she stopped schooling due to financial instability. Time came where the stepmother connived with a group of men to rape and kill Justine. She ran away from home and came to town to stay with her brother who also chased her away from his home because she could not contribute to the rent. The mother also exiled to a neighboring country since her co-wife wanted to kill her.
 At a tender age, Justine resorted to sleeping around with different men to have food and shelter and it was through this that she conceived her baby. Friends encouraged her to do abortion because she never knew the owner of the pregnancy but she refused because the pregnancy had matured. A Samaritan woman saw how vulnerable she was and referred to hospital that brought her to Youth for Christ Uganda for assistance.
At this point, Justine testifies the goodness of the Lord ever since she landed in this place. The love and care she has received, has completely turned her life around. Justine met GOD, confessed Christ Jesus as her personal Lord and Savior, sought forgiveness from GOD and from her mother, forgave all who wronged her especially her father and the step mothers. On the reunion of young mothers on 13th December 2025, she is the only one who gave her life to the Lord, we praise God for she is growing in the Lord.  She gave birth to a boy child and named him “Miracle” because God has loved her dearly. She promises to continue praying, loving her baby and making right decisions. And also going back to school if she gets the chance.
She is thankful to Youth for Christ Uganda- Mirembe House and GOD for placing such people to help vulnerable pregnant girls like her.
",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"NB: When you report on the above points, please include numbers of people reached.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,PLANNING,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,,,"Weekly Staff prayer as well prayer partner ,Coaching voluneers at individual leval Bible study ","Bible study 
Weekly schools
School ministry 
Volunteers training and discipleship program. 
""Bridge 2026 begins(one center )- Whole week 
PPI and chapel sessions -
Volunteer Bible study and prayers - 
St. Mark WTW session
Kipkaren Girls""
Enrolment of Urban Youth workers certification program 
""Leadership devotion and prayer session.
Community  assessment and mapping.
Volunteer mobilization and role assignment.
Youth mentorship and life-skills session.
Community outreach and evangelism activity.
Monitoring, reflection, and reporting meeting.""",,"Weekly Bible Studies, School Ministry, Discipleship programs, School outreaches, Leadership development and orientation for new volunteers.","Schools and Collage outreaches, Sport mission, Music ministry and Recruitment of new volunteers","Week of prayer and fasting, placing new pregnant teenagers in Mirembe House",,,,,,,,,,,,,,,
,Week 2,,,"Weekly Staff prayer as well prayer partner ,Coaching voluneers at individual leval Bible study               February 12-16/2026 Christian Business Training in Wolaita Sodo.","Sports 
School mission Weekend challenge
School ministry 
Volunteers training and discipleship program. 
""Bridge program (2 Centers)
PPI and Chapel
Volunteer BS & Prayers""
School Ministry outreach 
""-Leadership development and skills training session
-Volunteer support and supervision meeting
-Group prayer, reflection, and encouragement session
-Monitoring, evaluation, and progress reporting""",,"Shool missions, Sports ministry outreaches and volunteers discipleship.","Schools and collage outreaches, prayer with youth meetings, sport ministry and Music mission",Recruiting new young leaders,,,,,,,,,,,,,,,
,Week 3,,,"Weekly Staff prayer as well prayer partner ,Coaching voluneers at individual leval Bible study ","Visiting younger mothers 
Bible study 
Volunteers training and discipleship program. 
""Volunteer BS and prayers 
PPI and Chapel 
Bridge Program ""
School outreach 
""-Mid-program review and strategy adjustment meeting.
-Advanced leadership and discipleship training session.
-Youth empowerment and mentorship workshop.
-Continued follow-up and counseling sessions.""",,Community engagement and ministry outreaches.,Ministry outreaches and sport mission. ,Selecting young mothers for the vocational training,,,,,,,,,,,,,,,
,Week 4,,,"Weekly Staff prayer as well prayer partner ,Coaching voluneers at individual leval Bible study ","Visiting different sports clubs
Prayer and spiritual formation training
School ministry
Seminar 
Volunteers training and discipleship program. 
""Volunteer BS and prayers 
Bridge program ""
Net foundation training for Youth workers 
""-Program evaluation and final review meeting.
-Testimony sharing and thanksgiving service.
-Leadership reflection and lessons-learned session.
-Youth commitment and discipleship follow-up.""",,Visiting sports academies and clubs ,"Schools and collage outreach, sport mission and youth prayer gathering",Strart training for new young leaders and admit new entrants in suubi vocational training center,,,,,,,,,,,,,,,
,Week 5,,,"Weekly Staff prayer as well prayer partner ,Coaching voluneers at individual leval Bible study ","Visiting volunteers in every corner 
Social involvement activity
Schools ministry
Visiting sports clubs
Volunteers training and discipleship program. 
""-Time Blocking: Block dedicated time in the calendar for these priorities, ensuring they are completed during high-energy hours.
-Assess and Adjust: Review the progress of the previous week and adjust goals accordingly. """,,Preparing report and gathering from all department.,staff and volunteer training and programs review. ,,,,,,,,,,,,,,,,
,"What prayer initiatives is your nation planning for this month?

",,,,"Coporate prayers
Prayer training
Monthly prayer meeting 

",,Trauma healing training in Torit,Monthly prayer meeting and youth prayer gathering,N/A,,,,,,,,,,,,,,,
,What Evangelism and Discipleship initiatives is your nation planning other than the evangelism & discipleship that you are currently doing?,,,,"Spread the gospel to near by chapter 
Prison discipleship
Moyale, Marsabit and Meru mission
To reach out to people through even visiting prisons, children's homes with iam of sharing good news of Christ. 
Reaching kiambio schools and Churches   ",,Visiting the internal displace people and the refugees camps in Juba for spreading the gospel.,We shall apply last month’s model to expand our outreach and engagement with young people across additional geographical locations.,N/A,,,,,,,,,,,,,,,
,"What Social Involvement is your nation planning other than your daily initiatives?

",,,,"Youths seminar 
prison visit
We want to practice training younger mothers in farming project 
Visiting hospitals as well. 
Tuition classes to children in Kibera during weekdays in the evening and weekends 
""Providing support and counseling for at-risk youth 
Organizing fundraising or donation drives for the youth for christ. """,,Visiting the Refugees in Gorom to interact with the youth from different Churches.,"Helping hopeless and vulnerable girls with pads and clothes, connecting with homeless young people in the street and help the with clothes. ",N/A,,,,,,,,,,,,,,,
,What Leadership training is your nation planning other than your daily initiatives?,,,,"Volunteers training
We want to have more training than we have 
To have a whole day training for my volunteers
Net foundation leadership training 
""-Mentorship and peer coaching sessions for emerging leaders
-Volunteer coordination and capacity-building training
-Public speaking, communication, and interpersonal skills development
-Conflict resolution and problem-solving workshop """,,"Training the staff, volunteers and ministry team to portray the work Jesus and lead by example.","Staff and Volunteers training, Practical youth ministry training to the new volunteers and staff. ",N/A,,,,,,,,,,,,,,,
,"What plans do you have for board development and board meetings?

",,,"Ministry review,go through board manual",N/A,,We will have a board meeting and training to review the ministry and way forward to ensure the misision and vision is implemented as needed.,N/A,N/A,,,,,,,,,,,,,,,
,What are you planning for personal out time?,,,Sharing time with loved ones and family,writing newsletter and finding new contacts,,Writing newsletters and getting new friends.,Adding  new contact and send out newsletter,,,,,,,,,,,,,,,,
,"Explain your plans for personal fundraising?

",,,Writing newsletter and finding new contacts,writing newsletter and finding new contacts,,Reaching out to friends and partners by sharing the ministry updates and new programs.,Adding new contact to my list and share newsletter,,,,,,,,,,,,,,,,
,Explain your plans for ministry fundraising?,,"
",Writing newsletter and finding new contacts,writing newsletter and finding new contacts,,Writing newsletters and getting new friends.,Branding and Promotion of Ministry Programs,,,,,,,,,,,,,,,,
,"Any other plans I need to know about? 

",,,,writing newsletter and finding new contacts,,Making short motivational videos and share with friends about specific programs that need more attention.,Reconnecting with former members and engaging them to remain active in the ministry and mission,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
